"phi_0","gradPhi_0","gradPhi_1","Points:0","Points:1","Points:2"
-1.0776,1.906,0.68884,-0.47958,1.0597,0
-2.748,0.73351,0.1264,-1.5155,0.16909,0
-2.3937,0.5075,0.64958,-1.0541,0.39761,0
-2.2898,0.74454,0.71432,-1.0601,0.55355,0
-2.3837,0.67094,0.60144,-1.1272,0.48289,0
-2.4601,0.62903,0.49338,-1.1885,0.41583,0
-2.5129,0.25647,0.34308,-1.0757,0.1802,0
-2.5169,0.42282,0.36476,-1.1517,0.24195,0
-2.205,0.72582,0.91787,-0.93818,0.54794,0
-2.1812,0.85586,0.80947,-0.99515,0.62795,0
-2.9272,0.95364,0.24439,-1.8152,0.56137,0
-2.8241,0.80556,0.12493,-1.6186,0.19585,0
-2.462,0.50144,0.50166,-1.1284,0.34358,0
-2.5275,0.53241,0.36888,-1.2121,0.29188,0
-2.9994,0.94023,0.17465,-1.847,0.36182,0
-1.1314,1.9534,0.85091,-0.47183,0.97006,0
-2.277,0.86268,0.64408,-1.1193,0.64279,0
-2.0818,0.89748,1.0043,-0.88096,0.62761,0
-3.0139,0.97842,0.23841,-1.909,0.57737,0
-1.618,1.4649,0.85853,-0.73583,0.92667,0
-2.5742,0.49927,0.24178,-1.2443,0.19328,0
-2.6156,0.59623,0.22196,-1.3286,0.21472,0
-2.8816,0.98372,0.27803,-1.8235,0.76434,0
-2.7704,0.9924,0.2973,-1.7342,0.84435,0
-2.8543,0.996,0.28307,-1.8223,0.85717,0
-2.7405,1.0083,0.29711,-1.7285,0.92581,0
-2.0576,1.2691,0.041952,-1.3094,1.9069,0
-1.9449,1.3088,0.090913,-1.2169,1.8069,0
-1.802,1.3607,0.047102,-1.1148,1.9037,0
-2.6395,1.069,0.068101,-1.8044,1.8129,0
-2.6546,1.0646,0.1019,-1.8109,1.7169,0
-2.4102,1.1464,0.034566,-1.6018,1.9119,0
-0.64255,2.2414,0.50752,-0.26976,1.0585,0
-2.1531,1.029,0.6403,-1.0929,0.79565,0
-1.4904,1.5568,0.7102,-0.71201,1.0434,0
-1.4398,1.5687,0.57877,-0.72388,1.1509,0
-2.3606,0.90815,0.52178,-1.2445,0.68995,0
-0.8919,1.9223,0.48079,-0.42139,1.1873,0
-2.5658,0.36845,0.13897,-1.1794,0.091696,0
-1.6231,1.4533,0.74033,-0.77757,0.99655,0
-1.1287,1.7008,0.39473,-0.58741,1.3293,0
-0.19075,2.0717,0.098295,-0.091709,1.2993,0
-0.3678,1.8949,0.12092,-0.19186,1.4821,0
-0.18257,1.8924,0.054763,-0.096219,1.5279,0
-0.18044,2.2745,0.12968,-0.078993,1.147,0
-2.8716,1.0116,0.26581,-1.8955,1.0612,0
-2.6414,1.0443,0.28915,-1.6783,1.0875,0
-2.4538,1.119,0.22978,-1.5781,1.3875,0
-0.77584,1.6888,0.045624,-0.44311,1.8823,0
-2.2971,1.1008,0.40404,-1.3383,1.0296,0
-1.0961,1.6009,0.041528,-0.63851,1.9127,0
-1.0009,1.6364,0.088686,-0.57542,1.8076,0
-1.1591,1.5862,0.0853,-0.67463,1.8264,0
-1.0522,1.632,0.1367,-0.6005,1.7163,0
-1.1792,1.6029,0.19737,-0.66907,1.6195,0
-1.2581,1.5629,0.14945,-0.72884,1.71,0
-1.332,1.5454,0.2049,-0.76569,1.6163,0
-1.3515,1.5233,0.10007,-0.79705,1.805,0
-1.2583,1.5501,0.04273,-0.74148,1.9145,0
-2.314,1.0528,0.44965,-1.3081,0.91374,0
-2.2301,1.1058,0.45303,-1.2616,0.98843,0
-2.1786,1.1021,0.50901,-1.1935,0.93913,0
-2.8389,1.0187,0.23501,-1.9092,1.246,0
-2.6802,1.0085,0.31153,-1.6645,0.91205,0
-2.446,0.8991,0.45631,-1.3294,0.67212,0
-2.1544,1.0781,0.57121,-1.1392,0.87412,0
-2.8167,1.0229,0.21987,-1.9028,1.315,0
-2.5205,1.0908,0.26083,-1.6118,1.2675,0
-2.9092,0.84843,0.051753,-1.7102,0.088366,0
-2.9933,0.90963,0.093309,-1.8132,0.1772,0
-0.159,1.8135,0.026491,-0.087526,1.7175,0
-2.0736,1.1743,0.50663,-1.1374,1.0199,0
-1.4721,1.5288,0.4719,-0.77852,1.2509,0
-2.782,1.0275,0.15952,-1.9097,1.5339,0
-2.2155,1.1467,0.39812,-1.292,1.1034,0
-2.0434,1.0701,0.76333,-0.98033,0.78389,0
-2.3307,1.1549,0.2524,-1.4665,1.3719,0
-2.6344,0.70888,0.27716,-1.4015,0.32912,0
-0.33009,1.8227,0.069866,-0.17968,1.6431,0
-1.9911,1.2726,0.3251,-1.1786,1.3411,0
-2.0259,1.272,0.22441,-1.2447,1.5213,0
-2.6005,1.0821,0.14272,-1.7477,1.6048,0
-1.6178,1.4482,0.52266,-0.85189,1.1778,0
-2.3181,1.1748,0.13541,-1.5047,1.6662,0
-2.8657,0.85492,0.15901,-1.6827,0.27736,0
-2.3608,1.1334,0.29014,-1.4669,1.2627,0
-1.7842,1.3641,0.32301,-1.0354,1.397,0
-1.2768,1.6459,0.47721,-0.65543,1.2509,0
-1.402,1.5301,0.27913,-0.7929,1.4996,0
-2.6868,0.87695,0.31052,-1.5487,0.54721,0
-0.77814,1.8149,0.26231,-0.40621,1.4235,0
-1.8891,1.3162,0.33466,-1.1032,1.3546,0
-0.69658,1.8059,0.20233,-0.37064,1.4977,0
-2.3021,1.1818,0.1052,-1.499,1.7426,0
-2.6818,0.99249,0.31803,-1.6458,0.84759,0
-2.7507,0.89954,0.28546,-1.6219,0.55102,0
-2.4073,1.1274,0.25804,-1.5235,1.3267,0
